"";"word1";"word2";"n"
"588";"seminarios";"ced";17
"589";"sendo";"construida";17
"590";"tantos";"outros";17
"591";"tentar";"aprovar";17
"592";"tiagowerner";"pradeuscuidar";17
"593";"tiagowernertw";"producao";17
"594";"tripdosulpromundo";"tw";17
"595";"tw";"assista";17
"596";"vai";"lancar";17
"597";"visual";"tiagowernertw";17
"598";"2";"votacultura";16
"599";"2021";"lei";16
"600";"20h";"lei";16
"601";"abertas";"inscricoes";16
"602";"abre";"edital";16
"603";"aldir_blanc";"ainda";16
"604";"aldir_blanc";"pode";16
"605";"aldir_blanc";"presente";16
"606";"aldir_blanc";"vamos";16
"607";"aldir_blanc2";"cultura";16
"608";"andreporci";"mfriasoficial";16
"609";"ap";"grupo";16
"610";"brasil";"nunca";16
"611";"carta";"aberta";16
"612";"compositor";"aldir_blanc";16
"613";"cultura";"brasileiro";16
"614";"cultura";"leia";16
"615";"decreto";"prorroga";16
"616";"deputados";"aprovou";16
"617";"estar";"demorando";16
"618";"federal";"ministerio";16
"619";"fundacao";"municipal";16
"620";"fundacao";"pedro";16
"621";"fundo";"municipal";16
"622";"hoje";"nao";16
"623";"lancamento";"sera";16
"624";"longa";"metragem";16
"625";"mostra";"sesc";16
"626";"muitos";"artistas";16
"627";"nao";"acabou";16
"628";"nao";"ter";16
"629";"nesta";"quinta";16
"630";"parana";"podemos";16
"631";"pedro";"calmon";16
"632";"plp";"73";16
"633";"podemos";"contar";16
"634";"porque";"estar";16
"635";"producoes";"apoio";16
"636";"produtor";"cultura";16
"637";"revista";"pmw";16
"638";"rio_de_janeiro";"secretaria";16
"639";"salve";"aldir_blanc";16
"640";"sao";"pedro";16
"641";"sao";"prorrogados";16
"642";"secretario";"especial";16
"643";"secult";"divulga";16
"644";"segmento";"cultura";16
"645";"semana";"passada";16
"646";"sera";"apresentado";16
"647";"tv";"cultura";16
"648";"vetos";"presidenciais";16
"649";"vida";"noturna";16
"650";"votacultura";"aprovaleipaulogustavo";16
"651";"400";"mil";15
"652";"afro";"brasileira";15
"653";"aldir_blanc";"ai";15
"654";"aldir_blanc";"auxilio";15
"655";"aldir_blanc";"contemplados";15
"656";"aldir_blanc";"mg";15
"657";"aldir_blanc";"musica";15
"658";"aldir_blanc";"pe";15
"659";"aldir_blanc";"vao";15
"660";"artistico";"cultura";15
"661";"auxilio";"financeiro";15
"662";"comunidades";"tradicionais";15
"663";"cotas";"raciais";15
"664";"cultura";"2021";15
"665";"cultura";"afetados";15
"666";"cultura";"afro";15
"667";"cultura";"inspirada";15
"668";"cultura";"pcdob";15
"669";"demorando";"tanto";15
"670";"desta";"quarta_feira";15
"671";"dia";"22";15
"672";"distrito";"federal";15
"673";"duas";"telas";15
"674";"festival";"aldir_blanc";15
"675";"fundacao";"marcopolo";15
"676";"gestores";"municipais";15
"677";"joao";"pessoa";15
"678";"leirouanet";"proac";15
"679";"link";"aldir_blanc";15
"680";"mestre";"sala";15
"681";"milhoes";"remanescentes";15
"682";"musicas";"ineditas";15
"683";"nao";"perca";15
"684";"neste";"momento";15
"685";"ola";"gentamiga";15
"686";"prefeitura";"lanca";15
"687";"presidente";"bolsonaro";15
"688";"rede";"publica";15
"689";"saldos";"remanescentes";15
"690";"secretaria";"estadual";15
"691";"senado";"aprovou";15
"692";"sergipe";"atraves";15
"693";"sou1de11milhoes";"jairbolsonaro";15
"694";"todo";"artista";15
"695";"todo";"pais";15
"696";"todo";"serao";15
"697";"tres";"edital";15
"698";"vai";"liberar";15
"699";"via";"podergoias";15
"700";"20";"horas";14
